6.82	&	3.48	&	7.8	&	4.43	\\
1.23	&	1.43	&	1.09	&	1.2	\\
1.81	&	3.75	&	4.6	&	9.19	\\
7.41	&	14.62	&	5.62	&	5.05	\\
4.45	&	8.46	&	3.88	&	7.37	\\
0.99	&	1.19	&	0.98	&	1.09	\\
0.94	&	0.95	&	0.93	&	0.94	\\
1.6	&	2.76	&	1.44	&	2.45	\\
