LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SS6003108.Mask4-Centromeres	6322531	64532350	6322529	5348553	19019883	10199	0.320476	86728414
SS6003110.Mask4-Centromeres	6823202	64047443	6823194	5804042	20021193	11483	0.339809	79772722
SS6003112.Mask4-Centromeres	7394878	72149868	7394875	6419082	21201845	16125	0.321849	97349303
SS6003114.Mask4-Centromeres	5891687	51748616	5891683	5058488	15009996	10109	0.320677	70989618
SS6003116.Mask4-Centromeres	5762542	51261804	5762540	4839317	16146396	12742	0.342907	63225963
SS6003118.Mask4-Centromeres	6596423	62532276	6596417	5626672	20716320	7208	0.357428	72132863
SS6003120.Mask4-Centromeres	5323884	64916947	5323884	4823977	16967322	13405	0.286766	101496921
SS6003124.Mask4-Centromeres	4777288	56969919	4777287	4228631	17745349	12724	0.334571	71294514
SS6003128.Mask4-Centromeres	5645175	57768483	5645174	5030766	16905280	9850	0.32052	78352170
SS6003130.Mask4-Centromeres	4957102	58602940	4957101	4426953	18820233	13794	0.344355	70459838
SS6003132.Mask4-Centromeres	4748168	56930205	4748166	4204846	14904847	19767	0.28678	88855980
SS6003134.Mask4-Centromeres	5613352	63298235	5613352	5065348	17357505	17894	0.300888	93239877
SS6003136.Mask4-Centromeres	5218535	56213616	5218532	4605726	15820291	10859	0.308097	80125183
SS6003148.Mask4-Centromeres	5739213	55651967	5739213	5140906	13650544	20426	0.27718	94110699
SS6003301.lanes1.Mask4-Centromeres	726744	9468881	726744	556595	1205124	5126	0.150873	34091655
SS6003301.lanes2.Mask4-Centromeres	1447685	19029218	1447685	1174059	3240581	10252	0.193773	49450788
SS6003301.lanes3.Mask4-Centromeres	2181037	28650445	2181037	1823493	5604721	15390	0.219107	63458245
SS6003301.lanes4.Mask4-Centromeres	2889287	38027791	2889287	2468454	8199316	20662	0.238991	75127240
SS6003301.lanes5.Mask4-Centromeres	3632035	47829965	3632033	3156226	11088913	25587	0.255147	86641377
SS6003301.Mask4-Centromeres	3632035	47829965	3632033	3156226	11088913	25587	0.255147	86641377
SS6003304.Mask4-Centromeres	4899681	55848741	4899681	4379438	14502044	20231	0.286315	88062381
SS6003307.Mask4-Centromeres	4796602	55502521	4796599	4244885	13967441	18365	0.277887	90952489
SS6003310.Mask4-Centromeres	4373515	54437178	4373515	3799634	15624890	13276	0.309493	75690410
SS6003313.Mask4-Centromeres	4170928	52166410	4170926	3727526	12388108	18699	0.262698	91750355
SS6003316.Mask4-Centromeres	4094985	52879619	4094984	3669805	12689949	39812	0.264439	91933095
SS6003319.Mask4-Centromeres	5180880	59034463	5180880	4691687	17519228	21006	0.322355	78676553
SS6003322.Mask4-Centromeres	4191113	50148552	4191110	3712013	13929520	25557	0.302149	72724215
