LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SS6003108.Mask5-Telomeres	444896	16108064	446205	263192	813369	2282	0.057865	154491622
SS6003110.Mask5-Telomeres	456528	15904223	459567	256697	1033464	2651	0.072017	117290897
SS6003112.Mask5-Telomeres	529263	18179211	531311	313447	1015890	3518	0.063578	157042758
SS6003114.Mask5-Telomeres	438243	13112612	439743	245006	480989	2350	0.045267	175152482
SS6003116.Mask5-Telomeres	377863	11925210	379792	196990	1216156	2701	0.108522	54525354
SS6003118.Mask5-Telomeres	370907	14640952	373333	219258	1850399	1496	0.132198	52966883
SS6003120.Mask5-Telomeres	329765	16853289	331402	242514	496037	3185	0.036273	282399362
SS6003124.Mask5-Telomeres	247728	13542445	250088	152741	867094	2712	0.069036	101480633
SS6003128.Mask5-Telomeres	270847	14009553	273579	168204	436532	2139	0.036807	221147491
SS6003130.Mask5-Telomeres	279238	13349985	281234	187716	899372	2921	0.073629	94860074
SS6003132.Mask5-Telomeres	286782	14341550	290165	189088	700302	4452	0.054874	142880045
SS6003134.Mask5-Telomeres	313906	16326564	315350	220605	515845	4172	0.037986	254872815
SS6003136.Mask5-Telomeres	265805	13166565	268359	156285	563302	2372	0.048231	150052061
SS6003148.Mask5-Telomeres	308201	15194040	310386	206636	457647	5199	0.036549	249858918
SS6003301.lanes1.Mask5-Telomeres	35374	2213410	35670	12662	27727	1177	0.015265	91426355
SS6003301.lanes2.Mask5-Telomeres	69302	4428416	69868	30150	92431	2249	0.024088	107138529
SS6003301.lanes3.Mask5-Telomeres	103828	6658083	104698	50706	195713	3401	0.032946	112908802
SS6003301.lanes4.Mask5-Telomeres	137075	8834571	138253	72286	332060	4571	0.041357	116078590
SS6003301.lanes5.Mask5-Telomeres	172848	11098279	174373	97232	510743	5625	0.050011	118073909
SS6003301.Mask5-Telomeres	172848	11098279	174373	97232	510743	5625	0.050011	118073909
SS6003304.Mask5-Telomeres	215095	12428130	216660	127461	853533	3981	0.073172	86657190
SS6003307.Mask5-Telomeres	243458	13002070	245564	145221	716327	3817	0.060115	114189418
SS6003310.Mask5-Telomeres	232465	12464108	234324	141063	1150916	2652	0.097092	63397593
SS6003313.Mask5-Telomeres	194481	12264187	196243	120923	500865	4071	0.04541	147165536
SS6003316.Mask5-Telomeres	173754	11383452	174761	109159	515032	7584	0.04966	123690130
SS6003319.Mask5-Telomeres	219143	13017942	220064	139319	847723	3900	0.069882	95969345
SS6003322.Mask5-Telomeres	206641	11545859	208636	125373	1161887	5213	0.105121	53658229
