0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	9
61	8
62	14
63	8
64	11
65	10
66	13
67	7
68	13
69	6
70	3
71	7
72	5
73	8
74	10
75	5
76	6
77	8
78	12
79	12
80	14
81	12
82	26
83	29
84	62
85	63
86	82
87	84
88	106
89	81
90	88
91	91
92	113
93	114
94	138
95	217
96	157
97	168
98	162
99	134
100	197
101	1036
102	1078
103	1115
104	1150
105	1151
106	1219
107	1260
108	1275
109	1328
110	1377
111	1426
112	1377
113	1480
114	1436
115	1487
116	1553
117	1608
118	1638
119	1773
120	1808
121	1847
122	2064
123	2131
124	2191
125	2576
126	2711
127	3105
128	3244
129	3106
130	3356
131	3323
132	3843
133	3717
134	4152
135	4361
136	4949
137	4661
138	4868
139	4914
140	5154
141	5361
142	5150
143	5439
144	5383
145	5364
146	5397
147	5244
148	5638
149	5717
150	5666
151	5782
152	5564
153	5580
154	5765
155	5376
156	5066
157	5080
158	5036
159	5042
160	4983
161	4837
162	5084
163	5004
164	4928
165	4616
166	4450
167	4539
168	4974
169	4869
170	4899
171	4849
172	4960
173	4725
174	4272
175	4266
176	4237
177	4331
178	4359
179	4574
180	4529
181	4461
182	4572
183	4833
184	4846
185	5102
186	4890
187	5116
188	5255
189	5326
190	5421
191	5453
192	5667
193	5838
194	6105
195	6177
196	6403
197	6903
198	6759
199	7072
200	7239
201	7291
202	7529
203	7910
204	8145
205	8616
206	9704
207	11759
208	11679
209	16160
210	16680
211	15472
212	14914
213	16896
214	17756
215	12874
216	12641
217	12944
218	13428
219	13995
220	14098
221	14426
222	14982
223	15622
224	16317
225	17240
226	18055
227	18917
228	19407
229	20496
230	21514
231	21916
232	23091
233	24380
234	25426
235	26716
236	28065
237	29785
238	31155
239	32731
240	34763
241	36510
242	38114
243	40640
244	42775
245	45772
246	48911
247	50820
248	53213
249	56443
250	59482
251	62001
252	65268
253	69384
254	73142
255	77534
256	82186
257	86641
258	92690
259	99030
260	106685
261	115083
262	126062
263	139607
264	156681
265	179155
266	207841
267	246597
268	299116
269	367941
270	456517
271	572914
272	722882
273	906933
274	1137993
275	1420569
276	1754211
277	2151690
278	2612170
279	3146297
280	3752681
281	4418555
282	5161346
283	5966000
284	6818894
285	7722817
286	8661770
287	9644507
288	10627877
289	11650751
290	12666599
291	13679489
292	14636680
293	15580114
294	16445059
295	17270864
296	17997338
297	18658841
298	19276727
299	19785632
300	20274709
301	20665992
302	20972133
303	21217484
304	21405145
305	21479590
306	21483957
307	21506871
308	21405817
309	21276551
310	21123152
311	20832611
312	20578405
313	20288882
314	19953009
315	19490934
316	19067856
317	18606020
318	18040044
319	17497830
320	16935747
321	16292579
322	15673325
323	14970991
324	14279036
325	13520490
326	12729618
327	11943438
328	11110411
329	10302857
330	9483285
331	8685600
332	7890392
333	7130904
334	6399178
335	5688391
336	5028848
337	4398004
338	3819789
339	3296435
340	2811169
341	2382602
342	2002334
343	1668057
344	1374633
345	1123476
346	907651
347	726067
348	577295
349	454939
350	357157
351	278003
352	217303
353	169245
354	132452
355	104645
356	83079
357	66200
358	54219
359	45456
360	38404
361	33300
362	29097
363	26353
364	23980
365	22549
366	20918
367	19581
368	19175
369	18169
370	17819
371	16920
372	16584
373	16214
374	15774
375	15433
376	14993
377	14784
378	14854
379	14435
380	14373
381	14095
382	14056
383	13207
384	12683
385	11791
386	11020
387	10413
388	10390
389	9798
390	9545
391	9537
392	9283
393	9326
394	8858
395	8844
396	8814
397	8764
398	8945
399	9375
400	10664
401	11410
402	12048
403	17092
404	15785
405	10761
406	4301
407	2440
408	1985
409	2027
410	1794
411	1556
412	1446
413	1245
414	1120
415	902
416	699
417	501
418	399
419	342
420	384
421	404
422	435
423	510
424	615
425	561
426	591
427	597
428	597
429	579
430	566
431	580
432	597
433	560
434	574
435	547
436	585
